Timestamp,Temperature,Humidity,Soil,Water,Pump
2026-06-11 11:34:15.659161,28,60,2552,2417,OFF
2026-06-11 11:42:12.252841,29,83,1997,1764,ON
2026-06-11 11:42:17.274686,29,58,2541,66,OFF
2026-06-11 11:42:22.301536,25,45,3473,1479,OFF
2026-06-11 11:42:27.315007,33,47,1907,3262,ON
2026-06-11 11:42:32.324601,24,42,4066,3873,OFF
2026-06-11 11:42:37.335747,38,59,36,3488,ON
2026-06-11 11:42:42.341839,27,74,2430,2553,OFF
2026-06-11 11:42:47.348589,39,88,3671,597,OFF
2026-06-11 11:42:52.354458,28,71,431,2248,ON
2026-06-11 11:42:57.377052,27,54,2297,645,OFF
2026-06-11 11:43:02.384393,23,49,3890,3822,OFF
2026-06-11 11:43:07.388669,40,43,3101,116,OFF
2026-06-11 11:43:12.403423,29,71,1088,3151,ON
2026-06-11 11:43:17.409112,32,57,1125,2810,ON
2026-06-11 11:43:22.425198,23,71,894,3019,ON
2026-06-11 11:43:27.431594,23,72,3980,2349,OFF
2026-06-11 11:43:32.449554,34,68,179,4037,ON
2026-06-11 11:43:37.468771,40,70,4039,2166,OFF
2026-06-11 11:43:42.474006,39,59,705,833,ON
2026-06-11 11:43:47.481036,27,61,2410,471,OFF
2026-06-11 11:43:52.497313,30,85,3551,2579,OFF
2026-06-11 11:43:57.535963,38,51,116,2000,ON
2026-06-11 11:44:02.550852,37,71,1691,1070,ON
2026-06-11 11:44:07.556450,38,64,628,2634,ON
2026-06-11 11:44:12.563035,25,88,3153,492,OFF
2026-06-11 11:44:17.580631,30,90,4093,3149,OFF
2026-06-11 11:44:22.586521,37,60,686,1694,ON
2026-06-11 11:44:27.602550,29,54,3353,565,OFF
2026-06-11 11:44:32.618298,22,78,1847,2277,ON
2026-06-11 11:44:37.624574,32,44,4063,1223,OFF
2026-06-11 11:44:42.629627,31,83,2836,1644,OFF
2026-06-11 11:44:47.635822,31,75,3933,2361,OFF
2026-06-11 11:44:52.640835,27,83,3767,2254,OFF
2026-06-11 11:44:57.645437,27,80,746,3230,ON
2026-06-11 11:45:02.662084,22,44,3264,3083,OFF
2026-06-11 11:45:07.675349,26,46,1742,1872,ON
2026-06-11 11:45:12.691865,38,58,1569,1086,ON
2026-06-11 11:45:17.708140,24,57,2773,3546,OFF
2026-06-11 11:45:22.724240,27,59,2020,652,OFF
2026-06-11 11:45:27.740013,26,81,2930,4092,OFF
2026-06-11 11:45:32.748211,22,83,1723,1911,ON
2026-06-11 11:45:37.765057,29,64,4009,1378,OFF
2026-06-11 11:45:42.781562,29,56,1930,3049,ON
2026-06-11 11:45:47.798124,26,62,3062,1341,OFF
